402.571,-75.000,20.000
416.857,-66.429,20.000
416.857,-66.429,0.000
414.714,-68.571,0.000
412.571,-66.429,0.000
414.714,-64.286,0.000
416.857,-66.429,0.000
416.857,-70.714,0.000
412.571,-75.000,0.000
412.571,-75.000,20.000
0.000,-120.000,20.000
0.000,-120.000,0.000
0.000,-135.000,0.000
0.000,-150.000,0.000
0.000,-165.000,0.000
0.000,-165.000,20.000
0.000,-120.000,20.000
0.000,-120.000,0.000
27.857,-120.000,0.000
27.857,-120.000,20.000
0.000,-141.429,20.000
0.000,-141.429,0.000
17.143,-141.429,0.000
17.143,-141.429,20.000
0.000,-165.000,20.000
0.000,-165.000,0.000
27.857,-165.000,0.000
27.857,-165.000,20.000
37.857,-135.000,20.000
37.857,-135.000,0.000
37.857,-150.000,0.000
37.857,-165.000,0.000
37.857,-165.000,20.000
37.857,-143.571,20.000
37.857,-143.571,0.000
44.286,-137.143,0.000
48.571,-135.000,0.000
55.000,-135.000,0.000
59.286,-137.143,0.000
61.429,-143.571,0.000
61.429,-165.000,0.000
61.429,-165.000,20.000
61.429,-143.571,20.000
61.429,-143.571,0.000
67.857,-137.143,0.000
72.143,-135.000,0.000
78.571,-135.000,0.000
82.857,-137.143,0.000
85.000,-143.571,0.000
85.000,-165.000,0.000
85.000,-165.000,20.000
103.571,-135.000,20.000
103.571,-135.000,0.000
99.286,-137.143,0.000
95.000,-141.429,0.000
92.857,-147.857,0.000
92.857,-152.143,0.000
95.000,-158.571,0.000
99.286,-162.857,0.000
103.571,-165.000,0.000
110.000,-165.000,0.000
114.286,-162.857,0.000
118.571,-158.571,0.000
120.714,-152.143,0.000
120.714,-147.857,0.000
118.571,-141.429,0.000
114.286,-137.143,0.000
110.000,-135.000,0.000
103.571,-135.000,0.000
103.571,-135.000,20.000
156.429,-141.429,20.000
156.429,-141.429,0.000
152.143,-137.143,0.000
147.857,-135.000,0.000
141.429,-135.000,0.000
137.143,-137.143,0.000
132.857,-141.429,0.000
130.714,-147.857,0.000
130.714,-152.143,0.000
132.857,-158.571,0.000
137.143,-162.857,0.000
141.429,-165.000,0.000
147.857,-165.000,0.000
152.143,-162.857,0.000
156.429,-158.571,0.000
156.429,-158.571,20.000
166.429,-147.857,20.000
166.429,-147.857,0.000
192.143,-147.857,0.000
192.143,-143.571,0.000
190.000,-139.286,0.000
187.857,-137.143,0.000
183.571,-135.000,0.000
177.143,-135.000,0.000
172.857,-137.143,0.000
168.571,-141.429,0.000
166.429,-147.857,0.000
166.429,-152.143,0.000
168.571,-158.571,0.000
172.857,-162.857,0.000
177.143,-165.000,0.000
183.571,-165.000,0.000
187.857,-162.857,0.000
192.143,-158.571,0.000
192.143,-158.571,20.000
204.286,-139.286,20.000
204.286,-139.286,0.000
202.143,-141.429,0.000
204.286,-143.571,0.000
206.429,-141.429,0.000
204.286,-139.286,0.000
204.286,-139.286,20.000
204.286,-154.286,20.000
204.286,-154.286,0.000
202.143,-156.429,0.000
204.286,-158.571,0.000
206.429,-156.429,0.000
204.286,-154.286,0.000
204.286,-154.286,20.000
309.000,-135.000,20.000
309.000,-135.000,0.000
297.214,-150.000,0.000
285.429,-165.000,0.000
285.429,-165.000,20.000
285.429,-135.000,20.000
285.429,-135.000,0.000
309.000,-135.000,0.000
309.000,-135.000,20.000
285.429,-165.000,20.000
285.429,-165.000,0.000
309.000,-165.000,0.000
309.000,-165.000,20.000
321.143,-135.000,20.000
321.143,-135.000,0.000
321.143,-150.000,0.000
321.143,-165.000,0.000
321.143,-165.000,20.000
321.143,-143.571,20.000
321.143,-143.571,0.000
327.571,-137.143,0.000
331.857,-135.000,0.000
338.286,-135.000,0.000
342.571,-137.143,0.000
344.714,-143.571,0.000
344.714,-165.000,0.000
344.714,-165.000,20.000
352.571,-147.857,20.000
352.571,-147.857,0.000
378.286,-147.857,0.000
